iter	Passed	Remaining
0	1	119
1	2	115
2	3	110
3	4	106
4	6	114
5	7	114
6	8	110
7	9	106
8	10	104
9	11	103
10	12	100
11	13	99
12	14	97
13	15	96
14	17	100
15	18	98
16	19	97
17	21	97
18	22	96
19	23	94
20	24	92
21	25	91
22	26	90
23	27	88
24	28	86
25	30	86
26	32	86
27	33	87
28	35	85
29	36	84
30	37	83
31	38	82
32	39	80
33	41	80
34	42	79
35	44	78
36	45	77
37	46	76
38	51	79
39	52	78
40	54	78
41	55	76
42	56	75
43	57	73
44	60	73
45	62	72
46	63	71
47	64	70
48	66	68
49	68	68
50	70	67
51	71	66
52	73	65
53	74	63
54	75	61
55	76	59
56	77	58
57	78	57
58	79	55
59	80	53
60	82	52
61	83	50
62	84	49
63	85	48
64	86	46
65	88	45
66	89	44
67	90	42
68	91	41
69	93	39
70	94	38
71	95	37
72	96	35
73	97	34
74	98	32
75	99	31
76	100	30
77	101	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	107	20
84	108	19
85	110	18
86	112	16
87	113	15
88	114	14
89	115	12
90	116	11
91	117	10
92	118	8
93	119	7
94	121	6
95	122	5
96	123	3
97	124	2
98	125	1
99	126	0
